2024-12-04 14:18:30.560 MSK [13176] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-04 14:18:30.573 MSK [33736] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-04 14:18:30.573 MSK [6680] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-04 14:21:43.189 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 14:21:43.738 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.541 сек., синхр.=0.004 сек., всего=0.550 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=18 kB, ожидалось=18 kB; lsn=0/20E7F70, lsn redo=0/20E7F38
2024-12-04 14:36:43.765 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 14:36:44.093 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.321 сек., синхр.=0.003 сек., всего=0.329 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=8 kB, ожидалось=17 kB; lsn=0/20EA0D8, lsn redo=0/20EA0A0
2024-12-04 15:21:43.170 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 15:21:43.616 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.438 сек., синхр.=0.003 сек., всего=0.447 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=16 kB, ожидалось=17 kB; lsn=0/20EE3A0, lsn redo=0/20EE368
2024-12-04 15:26:43.618 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 15:26:43.954 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.329 сек., синхр.=0.003 сек., всего=0.336 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=8 kB, ожидалось=16 kB; lsn=0/20F0650, lsn redo=0/20F0618
2024-12-04 15:31:43.968 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
