2024-05-30 19:11:11.050 MSK [17060] СООБЩЕНИЕ:  система БД была выключена: 2024-05-30 19:10:51 MSK
2024-05-30 19:16:11.010 MSK [9704] СООБЩЕНИЕ:  начата контрольная точка: time
2024-05-30 19:16:18.068 MSK [9704] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 67 (0.4%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=6.994 сек., синхр.=0.036 сек., всего=7.063 сек.; синхронизировано_файлов=31, самая_долгая_синхр.=0.014 сек., средняя=0.002 сек.; расстояние=335 kB, ожидалось=335 kB; lsn=0/15C1FB8, lsn redo=0/15C1F80
2024-05-30 19:31:11.094 MSK [9704] СООБЩЕНИЕ:  начата контрольная точка: time
2024-05-30 19:31:11.678 MSK [9704] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.552 сек., синхр.=0.017 сек., всего=0.584 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.016 сек., средняя=0.009 сек.; расстояние=29 kB, ожидалось=304 kB; lsn=0/15C96C0, lsn redo=0/15C9688
2024-05-30 19:36:11.686 MSK [9704] СООБЩЕНИЕ:  начата контрольная точка: time
2024-05-30 19:37:58.355 MSK [9704] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 970 (5.9%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=106.367 сек., синхр.=0.274 сек., всего=106.670 сек.; синхронизировано_файлов=301, самая_долгая_синхр.=0.016 сек., средняя=0.001 сек.; расстояние=4578 kB, ожидалось=4578 kB; lsn=0/1A42108, lsn redo=0/1A420D0
2024-05-30 19:41:11.397 MSK [9704] СООБЩЕНИЕ:  начата контрольная точка: time
2024-05-30 19:41:16.716 MSK [9704] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 49 (0.3%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=5.265 сек., синхр.=0.042 сек., всего=5.319 сек.; синхронизировано_файлов=41, самая_долгая_синхр.=0.014 сек., средняя=0.001 сек.; расстояние=160 kB, ожидалось=4136 kB; lsn=0/1A6A2F0, lsn redo=0/1A6A2B8
