2024-09-11 13:32:02.722 MSK [5012] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2024-06-03 13:44:13 MSK
2024-09-11 13:32:03.247 MSK [5012] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2024-09-11 13:32:03.250 MSK [5012] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/1A843B0
2024-09-11 13:32:03.250 MSK [5012] СООБЩЕНИЕ:  неверная длина записи в позиции 0/1A84498: ожидалось минимум 24, получено 0
2024-09-11 13:32:03.250 MSK [5012] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/1A84460, нагрузка системы: CPU: пользов.: 0.00 с, система: 0.00 с, прошло: 0.00 с
2024-09-11 13:32:03.254 MSK [5048] СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2024-09-11 13:32:03.260 MSK [5048] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.002 сек., синхр.=0.001 сек., всего=0.008 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A84498, lsn redo=0/1A84498
2024-09-11 13:32:24.825 MSK [5048] СООБЩЕНИЕ:  выключение
2024-09-11 13:32:24.826 MSK [5048] СООБЩЕНИЕ:  начата контрольная точка: shutdown immediate
2024-09-11 13:32:24.830 MSK [5048] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.001 сек., синхр.=0.001 сек., всего=0.005 сек.; синхронизировано_файлов=0, самая_долгая_синхр.=0.000 сек., средняя=0.000 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A84548, lsn redo=0/1A84548
