2024-11-14 12:54:10.725 MSK [10028] СООБЩЕНИЕ:  система БД была выключена: 2024-11-14 12:53:30 MSK
2024-11-14 12:59:10.749 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-14 12:59:11.631 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.871 сек., синхр.=0.007 сек., всего=0.884 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=30 kB, ожидалось=30 kB; lsn=0/204B1D8, lsn redo=0/204B1A0
2024-11-14 14:14:10.756 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-14 14:14:11.201 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.437 сек., синхр.=0.003 сек., всего=0.446 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=27 kB; lsn=0/204B9A0, lsn redo=0/204B968
2024-11-14 14:19:10.214 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-14 14:19:10.545 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.324 сек., синхр.=0.003 сек., всего=0.332 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=2 kB, ожидалось=24 kB; lsn=0/204C1E0, lsn redo=0/204C1A8
2024-11-14 14:24:10.559 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-14 14:24:10.893 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.327 сек., синхр.=0.003 сек., всего=0.335 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=2 kB, ожидалось=22 kB; lsn=0/204CB88, lsn redo=0/204CB50
2024-11-14 14:49:10.947 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-14 14:49:11.279 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.325 сек., синхр.=0.003 сек., всего=0.333 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=2 kB, ожидалось=20 kB; lsn=0/204D5C8, lsn redo=0/204D590
