2024-09-11 13:39:52.104 MSK [5276] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2024-09-11 13:37:58 MSK
2024-09-11 13:39:53.151 MSK [5276] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2024-09-11 13:39:53.155 MSK [5276] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/1A845F8
2024-09-11 13:39:53.155 MSK [5276] СООБЩЕНИЕ:  неверная длина записи в позиции 0/1A846E0: ожидалось минимум 24, получено 0
2024-09-11 13:39:53.155 MSK [5276] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/1A846A8, нагрузка системы: CPU: пользов.: 0.00 с, система: 0.00 с, прошло: 0.00 с
2024-09-11 13:39:53.159 MSK [5260] СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2024-09-11 13:39:53.167 MSK [5260] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.002 сек., синхр.=0.001 сек., всего=0.010 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A846E0, lsn redo=0/1A846E0
2024-09-11 14:35:39.024 MSK [5260] СООБЩЕНИЕ:  выключение
2024-09-11 14:35:39.025 MSK [5260] СООБЩЕНИЕ:  начата контрольная точка: shutdown immediate
2024-09-11 14:35:39.030 MSK [5260] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.001 сек., синхр.=0.001 сек., всего=0.006 сек.; синхронизировано_файлов=0, самая_долгая_синхр.=0.000 сек., средняя=0.000 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A84790, lsn redo=0/1A84790
