2024-10-22 15:08:44.437 MSK [10316] СООБЩЕНИЕ:  система БД была выключена: 2024-10-22 15:08:04 MSK
2024-10-22 15:13:44.443 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-22 15:13:44.451 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.002 сек., синхр.=0.002 сек., всего=0.010 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1F59BB8, lsn redo=0/1F59B80
2024-10-22 15:21:49.149 MSK [6572] ВАЖНО:  пользователь "postgres" не прошёл проверку подлинности (по паролю)
2024-10-22 15:21:49.149 MSK [6572] ПОДРОБНОСТИ:  Подключение соответствует строке 117 в "C:/Program Files/PostgreSQL/16/data/pg_hba.conf": "host    all             all             ::1/128                 scram-sha-256"
2024-10-22 15:21:49.184 MSK [6680] ВАЖНО:  пользователь "postgres" не прошёл проверку подлинности (по паролю)
2024-10-22 15:21:49.184 MSK [6680] ПОДРОБНОСТИ:  Подключение соответствует строке 117 в "C:/Program Files/PostgreSQL/16/data/pg_hba.conf": "host    all             all             ::1/128                 scram-sha-256"
2024-10-22 15:21:49.219 MSK [21036] ВАЖНО:  пользователь "postgres" не прошёл проверку подлинности (по паролю)
2024-10-22 15:21:49.219 MSK [21036] ПОДРОБНОСТИ:  Подключение соответствует строке 117 в "C:/Program Files/PostgreSQL/16/data/pg_hba.conf": "host    all             all             ::1/128                 scram-sha-256"
2024-10-22 15:23:44.459 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-22 15:23:45.226 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.757 сек., синхр.=0.005 сек., всего=0.768 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=7 kB, ожидалось=7 kB; lsn=0/1F5B928, lsn redo=0/1F5B8F0
2024-10-22 15:28:44.231 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-22 15:28:45.002 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.761 сек., синхр.=0.005 сек., всего=0.772 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=9 kB, ожидалось=9 kB; lsn=0/1F5DF60, lsn redo=0/1F5DF28
2024-10-22 15:38:44.016 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-22 15:38:44.783 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.757 сек., синхр.=0.006 сек., всего=0.768 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=11 kB, ожидалось=11 kB; lsn=0/1F60C70, lsn redo=0/1F60C38
2024-10-22 15:43:44.798 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-22 15:43:44.910 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.106 сек., синхр.=0.001 сек., всего=0.112 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=7 kB, ожидалось=10 kB; lsn=0/1F629B0, lsn redo=0/1F62978
2024-10-22 16:53:44.978 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-22 16:53:45.311 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.325 сек., синхр.=0.002 сек., всего=0.333 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=8 kB, ожидалось=10 kB; lsn=0/1F64A58, lsn redo=0/1F64A20
2024-10-22 16:58:44.318 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-22 16:58:45.193 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.867 сек., синхр.=0.004 сек., всего=0.876 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=12 kB, ожидалось=12 kB; lsn=0/1F67E00, lsn redo=0/1F67DC8
2024-10-22 19:28:44.439 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-22 19:28:44.658 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.213 сек., синхр.=0.001 сек., всего=0.219 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=7 kB, ожидалось=12 kB; lsn=0/1F69B48, lsn redo=0/1F69B10
2024-10-22 20:10:03.046 MSK [6160] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-10-22 20:13:55.372 MSK [20264] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-10-22 20:23:44.742 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-22 20:23:45.078 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.329 сек., синхр.=0.003 сек., всего=0.337 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=3 kB, ожидалось=11 kB; lsn=0/1F6A770, lsn redo=0/1F6A738
2024-10-22 20:33:44.092 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-22 20:33:44.654 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.552 сек., синхр.=0.004 сек., всего=0.562 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=5 kB, ожидалось=10 kB; lsn=0/1F6BDB0, lsn redo=0/1F6BD78
2024-10-22 20:42:38.357 MSK [24512] РћРЁРР‘РљРђ:  РїРѕРІС‚РѕСЂСЏСЋС‰РµРµСЃСЏ Р·РЅР°С‡РµРЅРёРµ РєР»СЋС‡Р° РЅР°СЂСѓС€Р°РµС‚ РѕРіСЂР°РЅРёС‡РµРЅРёРµ СѓРЅРёРєР°Р»СЊРЅРѕСЃС‚Рё "candidate_portrait_vacancy_id_key"
2024-10-22 20:42:38.357 MSK [24512] РџРћР”Р РћР‘РќРћРЎРўР:  РљР»СЋС‡ "(vacancy_id)=(21)" СѓР¶Рµ СЃСѓС‰РµСЃС‚РІСѓРµС‚.
2024-10-22 20:42:38.357 MSK [24512] РћРџР•Р РђРўРћР :  INSERT INTO candidate_portrait (vacancy_id, ideal_candidate, demographics, qualities, skills) VALUES (21, 'РЎР°РјРѕСЃС‚РѕСЏС‚РµР»СЊРЅС‹Р№, РѕС‚ 20 Р»РµС‚, РѕРїС‹С‚ СЂР°Р±РѕС‚С‹ РѕС‚ 2 Р»РµС‚, РѕР±СѓС‡Р°РµРјРѕСЃС‚СЊ', '-', 'РџРёС‚РѕРЅ, Р”Р¶Р°РЅРіРѕ', '-') RETURNING candidate_portrait.id
2024-10-22 20:43:44.670 MSK [10300] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-22 20:43:44.997 MSK [10300] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.319 сек., синхр.=0.003 сек., всего=0.328 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=3 kB, ожидалось=10 kB; lsn=0/1F6CAB0, lsn redo=0/1F6CA78
